Date,EWA,EWC
2019-06-24,17.483352661132812,24.95754051208496
2019-06-25,17.421001434326172,24.774612426757812
2019-06-26,17.491151809692383,24.800745010375977
2019-06-27,17.608070373535156,24.809452056884766
2019-06-28,17.5690975189209,24.931411743164062
2019-07-01,17.53791618347168,24.99239158630371
2019-07-02,17.53012466430664,25.044654846191406
2019-07-03,17.748376846313477,25.262435913085938
2019-07-05,17.756168365478516,25.227588653564453
2019-07-08,17.53012466430664,25.08820915222168
2019-07-09,17.4677677154541,25.166616439819336
2019-07-10,17.53791618347168,25.236303329467773
2019-07-11,17.59247589111328,25.253725051879883
2019-07-12,17.623661041259766,25.253725051879883
2019-07-15,17.64704132080078,25.245010375976562
2019-07-16,17.53012466430664,25.18403434753418
2019-07-17,17.608070373535156,25.149192810058594
2019-07-18,17.70160675048828,25.236303329467773
2019-07-19,17.732786178588867,25.11434555053711
2019-07-22,17.70160675048828,25.11434555053711
2019-07-23,17.771757125854492,25.11434555053711
2019-07-24,17.77954864501953,25.1927490234375
2019-07-25,17.717195510864258,24.94883155822754
2019-07-26,17.678220748901367,25.001100540161133
2019-07-29,17.763961791992188,24.95754051208496
2019-07-30,17.608070373535156,24.896564483642578
2019-07-31,17.4677677154541,24.731054306030273
2019-08-01,17.37423324584961,24.600385665893555
2019-08-02,17.304080963134766,24.44358253479004
2019-08-05,16.672710418701172,23.990602493286133
2019-08-06,16.55579376220703,24.077714920043945
2019-08-07,16.563589096069336,24.24322509765625
2019-08-08,16.844192504882812,24.57425308227539
2019-08-09,16.75065803527832,24.53940773010254
2019-08-12,16.618146896362305,24.312917709350586
2019-08-13,16.836400985717773,24.53940773010254
2019-08-14,16.438879013061523,23.886066436767578
2019-08-15,16.376514434814453,23.83380126953125
2019-08-16,16.54800033569336,24.147403717041016
2019-08-19,16.6103572845459,24.29549217224121
2019-08-20,16.664920806884766,24.129981994628906
2019-08-21,16.688302993774414,24.356470108032227
2019-08-22,16.63374137878418,24.260650634765625
2019-08-23,16.43107795715332,23.886066436767578
2019-08-26,16.540206909179688,24.112564086914062
2019-08-27,16.524614334106445,24.129981994628906
2019-08-28,16.57138442993164,24.269359588623047
2019-08-29,16.711687088012695,24.51327133178711
2019-08-30,16.898757934570312,24.556827545166016
2019-09-03,16.81301498413086,24.382604598999023
2019-09-04,17.00008773803711,24.661365509033203
2019-09-05,17.202747344970703,24.913990020751953
2019-09-06,17.32746124267578,24.940122604370117
2019-09-09,17.38202476501465,24.94883155822754
2019-09-10,17.38202476501465,25.053369522094727
2019-09-11,17.45997428894043,25.105634689331055
2019-09-12,17.53012466430664,25.11434555053711
2019-09-13,17.584686279296875,25.123056411743164
2019-09-16,17.53012466430664,25.245010375976562
2019-09-17,17.63924789428711,25.375680923461914
2019-09-18,17.506742477416992,25.288570404052734
2019-09-19,17.553508758544922,25.40181541442871
2019-09-20,17.444379806518555,25.40181541442871
2019-09-23,17.45997428894043,25.39310646057129
2019-09-24,17.397615432739258,25.297283172607422
2019-09-25,17.397615432739258,25.271146774291992
2019-09-26,17.366436004638672,25.227588653564453
2019-09-27,17.37423324584961,25.15789794921875
2019-09-30,17.34305191040039,25.175321578979492
2019-10-01,17.124799728393555,24.853010177612305
2019-10-02,16.719484329223633,24.46100425720215
2019-10-03,16.828609466552734,24.46100425720215
2019-10-04,17.00788116455078,24.643943786621094
2019-10-07,16.937728881835938,24.58296012878418
2019-10-08,16.81301498413086,24.356470108032227
2019-10-09,16.914348602294922,24.51327133178711
2019-10-10,17.054651260375977,24.661365509033203
2019-10-11,17.257308959960938,24.87042808532715
2019-10-14,17.117008209228516,24.79203224182129
2019-10-15,17.33525848388672,24.879146575927734
2019-10-16,17.397615432739258,24.88785743713379
2019-10-17,17.421001434326172,24.99239158630371
2019-10-18,17.397615432739258,24.9052791595459
2019-10-21,17.545711517333984,25.08820915222168
2019-10-22,17.545711517333984,25.06207847595215
2019-10-23,17.631454467773438,25.044654846191406
2019-10-24,17.63924789428711,25.096921920776367
2019-10-25,17.693815231323242,25.18403434753418
2019-10-28,17.771757125854492,25.175321578979492
2019-10-29,17.724990844726562,25.13176727294922
2019-10-30,17.709400177001953,25.11434555053711
2019-10-31,17.561304092407227,25.070789337158203
2019-11-01,17.740577697753906,25.288570404052734
2019-11-04,17.68601417541504,25.47150421142578
2019-11-05,17.717195510864258,25.46279525756836
2019-11-06,17.615867614746094,25.523773193359375
2019-11-07,17.802936553955078,25.645727157592773
2019-11-08,17.748376846313477,25.663150787353516
2019-11-11,17.849702835083008,25.645727157592773
2019-11-12,17.818523406982422,25.663150787353516
2019-11-13,17.631454467773438,25.74155044555664
2019-11-14,17.623661041259766,25.74155044555664
2019-11-15,17.77954864501953,25.898351669311523
2019-11-18,17.724990844726562,25.924488067626953
2019-11-19,17.81073570251465,25.776391983032227
2019-11-20,17.491151809692383,25.671859741210938
2019-11-21,17.4677677154541,25.724130630493164
2019-11-22,17.545711517333984,25.628305435180664
2019-11-25,17.631454467773438,25.750263214111328
2019-11-26,17.68601417541504,25.802528381347656
2019-11-27,17.904268264770508,25.83737564086914
2019-11-29,17.795141220092773,25.81123924255371
2019-12-02,17.717195510864258,25.645727157592773
2019-12-03,17.405410766601562,25.45408058166504
2019-12-04,17.53791618347168,25.63701820373535
2019-12-05,17.506742477416992,25.610883712768555
2019-12-06,17.662633895874023,25.680572509765625
2019-12-09,17.576887130737305,25.680572509765625
2019-12-10,17.522329330444336,25.680572509765625
2019-12-11,17.732786178588867,25.776391983032227
2019-12-12,17.8419132232666,25.819948196411133
2019-12-13,17.826322555541992,25.85479736328125
2019-12-16,18.14922332763672,26.052553176879883
2019-12-17,17.982200622558594,26.08786392211914
2019-12-18,17.99015235900879,26.079038619995117
2019-12-19,17.97425079345703,26.10552215576172
2019-12-20,17.982200622558594,26.158491134643555
2019-12-23,17.998104095458984,26.158491134643555
2019-12-24,18.01401710510254,26.184978485107422
2019-12-26,18.1253604888916,26.326231002807617
2019-12-27,18.093547821044922,26.317405700683594
2019-12-30,18.069683074951172,26.2291202545166
2019-12-31,18.006061553955078,26.388031005859375
2020-01-02,18.085594177246094,26.467485427856445
2020-01-03,17.894716262817383,26.33506202697754
2020-01-06,17.99015235900879,26.467485427856445
2020-01-07,17.96629524230957,26.493974685668945
2020-01-08,18.069683074951172,26.467485427856445
2020-01-09,18.077640533447266,26.511629104614258
2020-01-10,18.173080444335938,26.493974685668945
2020-01-13,18.316238403320312,26.635221481323242
2020-01-14,18.427583694458008,26.652881622314453
2020-01-15,18.515066146850586,26.794132232666016
2020-01-16,18.721853256225586,26.935388565063477
2020-01-17,18.705944061279297,26.997188568115234
2020-01-21,18.554834365844727,27.006017684936523
2020-01-22,18.658222198486328,26.864765167236328
2020-01-23,18.642316818237305,26.970705032348633
2020-01-24,18.491207122802734,26.847103118896484
